id,case_number,court_id,case_type_id,trial_level,status,source,desensitize,create_time,update_time
ccase_2e72c5120e04,(2014)沪二中刑初字第16号,court_f8dc7efceb7e,case_type_e6c972839c4b,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_10ca2f892f6e,(2023)京0114刑初650号,court_5a2d5a68c061,case_type_2e3d61221d86,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_036d6c42d96d,(2013)锦江民初字第3681号,court_442ccf913b1e,case_type_270b0eb31932,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_f8854f4378bd,(2014)成民终字第243号,court_442ccf913b1e,case_type_270b0eb31932,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_1a2da07f32f5,(2023)苏0413刑初613号,court_01fe37735571,case_type_d43be1412b5f,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_f587ef8a368e,(2024)苏04刑终60号,court_01fe37735571,case_type_d43be1412b5f,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_48d5d05041f2,(2020)辽01民初558号,court_cc36c8792b01,case_type_024f014e86e7,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_1bebe4de36ed,(2022)最高法知民终1592号,court_cc36c8792b01,case_type_024f014e86e7,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_9f675222c067,(2022)粤0192民初6486号,court_f410cf3a3790,case_type_01a2503b71a2,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_5e165d5fff78,(2023)粤01民终33217号,court_f410cf3a3790,case_type_01a2503b71a2,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_73db37a922dc,(2019)苏0214刑初647号,court_c33b4f5f88cc,case_type_60601adc5542,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_b0da37f6b223,(2016)皖0302法赔1号,court_8463494ba6bb,case_type_998700410aa9,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_ec91b818b799,(2016)皖03委赔2号,court_8463494ba6bb,case_type_998700410aa9,second_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_50e5a9c90cff,(2023)皖委赔监36号,court_8463494ba6bb,case_type_998700410aa9,retrial,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_970e47e8a2ee,(2022)豫0526法赔1号,court_5476d4828416,case_type_08c86578f16c,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_dfd73b335ccc,(2013)惠刑二初字第0148号,court_28c3d3af8150,case_type_72073dc60571,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_498cc36b1a00,(2013)锡刑二终字第0072号,court_28c3d3af8150,case_type_72073dc60571,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_54c5a51ed315,(2021)沪0151民初3614号,court_f8dc7efceb7e,case_type_aa6e16ad1329,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_dea5f8ef73f8,(2021)沪02民终9007号,court_f8dc7efceb7e,case_type_aa6e16ad1329,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_428a745fa7d7,(2015)潍行初字第35号,court_cc36c8792b01,case_type_06df11cf3807,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_ea36dc6a25db,(2017)鲁行终495号,court_cc36c8792b01,case_type_06df11cf3807,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_9e053848950d,(2017)最高法行申7679号,court_cc36c8792b01,case_type_06df11cf3807,retrial,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_5407dd4996b6,(2023)京0108行初711号,court_274256826142,case_type_1537ce9adf4e,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_fcd702fdba68,(2024)京01行终254号,court_274256826142,case_type_1537ce9adf4e,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_beecb3b286d1,(2022)渝0235行初56号,court_c46d0bfeef37,case_type_b84eb0392232,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_09473bfccb77,(2023)宁0302民初5413号,court_12bb2cf9bf59,case_type_10fc80b31b8c,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_753c47fab983,(2013)秀刑初字第160号,court_0d53a3a82fee,case_type_1771bd21d45f,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_f8bcf1565014,(2013)莆刑终字第407号,court_0d53a3a82fee,case_type_1771bd21d45f,second_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_c826ebe5be40,(2016)闽刑申121号,court_0d53a3a82fee,case_type_1771bd21d45f,retrial,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_a6714cd68757,(2017)闽03刑再1号,court_0d53a3a82fee,case_type_1771bd21d45f,retrial,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_952e228a1019,(2019)闽03法赔1号,court_0d53a3a82fee,case_type_1771bd21d45f,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_e022e950310e,(2020)闽委赔4号,court_0d53a3a82fee,case_type_1771bd21d45f,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_6a2c5f91a83c,(2023)晋0502执异130号,court_3059f9f2d897,case_type_9d9967bf2b24,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_3625a8ea41ca,(2024)晋05执复10号,court_3059f9f2d897,case_type_9d9967bf2b24,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_fe0d29e9066c,(2023)粤1225刑初2号,court_a4d40261d4cd,case_type_4563ec57f6c3,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_f0d2a8df76f2,(2023)京0106民初333号,court_390aa9f85761,case_type_7eb68ccb51fe,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_5fbfc0a6dcd2,(2023)京73民终3835号,court_390aa9f85761,case_type_7eb68ccb51fe,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_409d305c8bfc,(2018)苏0903刑初19号,court_bfc972244ec4,case_type_f309c8aae457,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_d78c4b0d2d1d,(2020)苏09刑终205号,court_bfc972244ec4,case_type_f309c8aae457,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_581530c85e24,(2019)京0118民初11434号,court_375378ea92cd,case_type_2662bf39aef3,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_9830f1adb142,(2020)京03民终3634号,court_375378ea92cd,case_type_2662bf39aef3,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_c409d3418f31,(2019)京0118执181号,court_375378ea92cd,case_type_2662bf39aef3,execution,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_9cae04b4c7ae,(2018)京0105民初69932号,court_375378ea92cd,case_type_2662bf39aef3,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_dc499edc0c06,(2020)沪0117民初2466号,court_f53aceb83b8c,case_type_1ae38a3bf2ee,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_22e56153f701,(2020)沪01民终7084号,court_f53aceb83b8c,case_type_1ae38a3bf2ee,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_d1aadb8691a6,(2019)川0104刑初144号,court_4890c20227c3,case_type_8977e320c2b8,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_4485c556b88a,(2011)建冈民初字第0188号,court_bfc972244ec4,case_type_621ee110cccc,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_f9c882cb2440,(2012)盐民抗字第0001号,court_bfc972244ec4,case_type_621ee110cccc,retrial,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_e0e968d6b05d,(2012)建民再初字第0003号,court_bfc972244ec4,case_type_621ee110cccc,retrial,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_eee2894395c5,(2013)盐民再终字第0009号,court_bfc972244ec4,case_type_621ee110cccc,retrial,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_271d5dc4ffb0,(2014)建民再初字第0002号,court_bfc972244ec4,case_type_621ee110cccc,retrial,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_06c279f95600,(2015)盐民再终字第00032号,court_bfc972244ec4,case_type_621ee110cccc,retrial,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_11e59a130299,(2014)浙绍知初字第500号,court_7516d1b44087,case_type_9760ecb5325d,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_6ddfa606012b,(2018)浙民终20号,court_7516d1b44087,case_type_9760ecb5325d,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_e03f7b44754e,(2020)湘8601行初454号,court_8f689467c4ff,case_type_8956a4ba70dd,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_2b3f7dbde9a1,(2023)闽0211民初336号,court_eadf8ec849ca,case_type_1e57c2556bbd,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_a6b60fe4df05,(2022)沪0114民初8911号,court_de45505867da,case_type_66edacdd6782,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_186830f33f9e,(2022)京0102民初3864号,court_390aa9f85761,case_type_e1d79b61e835,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_0d74d707ab8d,(2022)京73民终4213号,court_390aa9f85761,case_type_e1d79b61e835,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_f6c357a0de0d,(2023)川0824刑初107号,court_e26459a87a84,case_type_8db89c89088a,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_cf73bdaddbd1,(2023)苏0981民初6931号,court_bfc972244ec4,case_type_d536a72fa7aa,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_919db9f055f1,(2024)苏09民终2396号,court_bfc972244ec4,case_type_d536a72fa7aa,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_4cfa9a211aa7,(2023)浙0803民初175号,court_df41dbb1d10f,case_type_f6fc327e3f65,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_b46fd2b2aacc,(2023)浙08民终445号,court_df41dbb1d10f,case_type_f6fc327e3f65,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_fe8b1aa3cebf,(2014）并民初字第518号,court_37f0da6d4183,case_type_3c155ea688cd,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_155399798efe,(2022）晋01执异25号,court_37f0da6d4183,case_type_3c155ea688cd,execution,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_8e13db16cb93,(2024)晋1181刑初73号,court_1d480b00bc8c,case_type_302cbeef1068,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
