id,law_id,article,paragraph,item,content,status,source,desensitize,create_time,update_time
provision_c80e9d55b6eb,law_419219d85b1d,8,1,,,effective,中华人民共和国消费者权益保护法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_bd1c30f9b3dd,law_419219d85b1d,55,1,,,effective,中华人民共和国消费者权益保护法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_59e9751d823d,law_916530c63e7a,253之一,1,,,effective,刑法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_dea792bea482,law_916530c63e7a,253之一,3,,,effective,刑法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_9ff0aca2245b,law_07deaf5be565,5,1,10,,effective,最高人民法院、最高人民检察院关于办理侵犯公民个人信息刑事案件适用法律若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_6ced4db51e78,law_07deaf5be565,5,1,2,,effective,最高人民法院、最高人民检察院关于办理侵犯公民个人信息刑事案件适用法律若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_cc508b5a9930,law_2f7b6ca57536,112,,,,effective,中华人民共和国刑法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_145c7b8a3cc8,law_2f7b6ca57536,125,1,,,effective,中华人民共和国刑法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_7efb66fb0baf,law_4f6bc09e8c9f,53,2,,,effective,中华人民共和国刑事诉讼法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_2ca6e698f479,law_81d15f3ca998,2,,,,effective,最高人民法院关于办理非法制造、买卖、运输非军用枪支、弹药刑事案件适用法律问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_84e1ad73d3be,law_efec2a27db5f,3,,,,effective,最高人民法院、最高人民检察院关于适用刑事司法解释时间效力问题的规定,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_54e5bf8e2412,law_e0e114b19091,3,,,,effective,最高人民法院关于审理交通肇事刑事案件具体应用法律若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_1c6c78a3a87e,law_8c6622b47544,,,,,effective,中华人民共和国道路交通安全法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_013a1fa11c3f,law_e0e114b19091,1,,,,effective,最高人民法院关于审理交通肇事刑事案件具体应用法律若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_0a532ad8ede9,law_2f7b6ca57536,133,,,,effective,中华人民共和国刑法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_74ccb050e97b,law_4f6bc09e8c9f,54,2,,,effective,中华人民共和国刑事诉讼法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_35d3e42bdd39,law_e1e4a065a954,92,,,,effective,中华人民共和国道路交通安全法实施条例,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_4e179c40c7cc,law_bc903ed447bd,188,,,,effective,民法典,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_08ae9f13aa98,law_5ad8b55792a4,10,,,,effective,继承法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_69004c67eae9,law_bc903ed447bd,1127,,,,effective,民法典,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_ff5e655f8458,law_4e1ba7f823f5,2,1,,,effective,最高人民法院关于适用《中华人民共和国婚姻法》若干问题的解释（三）,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_679eb8dbc7f5,law_bc903ed447bd,1073,,,,effective,民法典,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_8f7caaf4bb08,law_916530c63e7a,264,,,,effective,刑法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_c081432709e6,law_916530c63e7a,285,2,,,effective,刑法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_8800e842a08f,law_dad4a1611bcb,32,2,1,,effective,中华人民共和国反不正当竞争法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_ab5cea8e94a8,law_861aedca2caf,7,,,,effective,中华人民共和国个人信息保护法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_10844bed6d6c,law_861aedca2caf,17,,,,effective,中华人民共和国个人信息保护法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_6d705651c57e,law_861aedca2caf,13,1,2,,effective,中华人民共和国个人信息保护法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_25788c012284,law_861aedca2caf,6,,,,effective,中华人民共和国个人信息保护法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_f9a39443c771,law_4c274af97946,,,,,effective,常见类型移动互联网应用程序必要个人信息范围规定,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_f22a85d9eb34,law_dea583c60933,38,,,,effective,中华人民共和国国家赔偿法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_361f56231579,law_a06c44d5beaa,7,,,,effective,人民法院司法警察条例,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_f305d652caf4,law_a06c44d5beaa,13,,,,effective,人民法院司法警察条例,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_8a33e5b557cc,law_60377ceaad95,17,,,,effective,国家赔偿法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_6fb8ed72eeca,law_2f7b6ca57536,196,,,,effective,中华人民共和国刑法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_835c030c9f51,law_97e7e14bb01a,33,1,,,effective,中华人民共和国公司法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_ad5d8f7ffe6d,law_97e7e14bb01a,97,,,,effective,中华人民共和国公司法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_9e1fa9430317,law_6206482e8dfc,7,,,,effective,最高人民法院关于适用中华人民共和国公司法若干问题的规定（四）,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_e41e5827e7b2,law_603f3bc6b97a,75,,,,effective,中华人民共和国行政诉讼法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_32959ec46f1b,law_590d35d29284,99,,,,effective,最高人民法院关于适用〈中华人民共和国行政诉讼法〉的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_49b4a9c0d3de,law_9d84d1851ef3,3,,,,effective,国务院关于税收等优惠政策相关事项的通知,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_ea6895e48153,law_1bcf22b1f39c,,,,,effective,中华人民共和国税收征收管理法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_c584891e74ad,law_c1f1406cb605,,,,,effective,最高人民法院行政审判庭关于超过法定退休年龄的进城务工农民因工伤亡的，应否适用《工伤保险条例》请示的答复,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_39227e4f6f5d,law_262404fdc2af,19,2,,,effective,工伤保险条例,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_296bf74e748a,law_4fb62e271bbf,4,,4,,effective,最高人民法院关于审理工伤保险行政案件若干问题的规定,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_19f1762038f8,law_f047352f8838,36,1,,,effective,中华人民共和国社会保险法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_d502e0645e22,law_f047352f8838,63,,,,effective,中华人民共和国社会保险法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_f1cb486c1659,law_f047352f8838,86,,,,effective,中华人民共和国社会保险法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_74fe326488d4,law_313c7575fe1d,6,,,,effective,重庆市人力资源和社会保障局办公室关于工伤保险费率浮动有关问题的政策解答（一）的通知,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_9ee7f61bad3d,law_97e7e14bb01a,137,,,,effective,中华人民共和国公司法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_26a0a25d2533,law_97e7e14bb01a,144,,,,effective,中华人民共和国公司法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_336e1002b3f5,law_8b6fea19139b,1165,,,,effective,中华人民共和国民法典,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_b4b8ee3a090a,law_8b6fea19139b,1184,,,,effective,中华人民共和国民法典,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_1e00c48025dd,law_c178de3229e3,4.3.6,,,,effective,深圳证券交易所中小企业板上市公司规范运作指引（2015年修订）,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_81698f01fe92,law_055daf1f48b8,4,1,,,effective,最高人民法院关于人民法院民事执行中拍卖、变卖财产的规定,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_74644015418d,law_055daf1f48b8,4,2,,,effective,最高人民法院关于人民法院民事执行中拍卖、变卖财产的规定,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_9062665d5f16,law_90889cac0e56,33,,,,effective,最高人民法院关于人民法院执行工作若干问题的规定（试行）,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_bae99868bc93,law_dea583c60933,17,,,,effective,中华人民共和国国家赔偿法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_a50b121b5bfe,law_de81453a1098,6,,,,effective,最高人民法院、最高人民检察院关于办理刑事赔偿案件适用法律若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_8da676b06f22,law_de81453a1098,21,,,,effective,最高人民法院、最高人民检察院关于办理刑事赔偿案件适用法律若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_7137b6a4fea3,law_dea583c60933,33,,,,effective,中华人民共和国国家赔偿法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_ed9870492a21,law_dea583c60933,34,,,,effective,中华人民共和国国家赔偿法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_f5b5a425b131,law_0cd13025f2cc,1,,3,,effective,最高人民法院关于审理破坏公用电信设施刑事案件具体应用法律若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_61bf5efb82d1,law_0cd13025f2cc,2,,3,,effective,最高人民法院关于审理破坏公用电信设施刑事案件具体应用法律若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_70cd7e807790,law_dad4a1611bcb,,,,,effective,中华人民共和国反不正当竞争法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_ef75b313926d,law_3e9911a4dfea,6,,,,effective,全国法院民商事审判会议纪要,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_06dd428cfe0d,law_1c9284435963,,,,,effective,全国人民代表大会常务委员会关于维护互联网安全的决定,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_72ecfa9041db,law_5c2a1b09f60d,1,,,,effective,最高人民法院、最高人民检察院关于办理利用互联网、移动通讯终端、声讯台制作、复制、出版、贩卖、传播淫秽电子信息刑事案件具体应用法律若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_e5287ba8a73f,law_5c2a1b09f60d,2,,,,effective,最高人民法院、最高人民检察院关于办理利用互联网、移动通讯终端、声讯台制作、复制、出版、贩卖、传播淫秽电子信息刑事案件具体应用法律若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_e825a5829d2e,law_47ea8f0ed61b,5,,,,effective,中华人民共和国进出境动植物检疫法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_e642179649fe,law_981fc20cd225,4,,,,effective,某财险公司机动车综合商业保险示范条款,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_4bdc6611c16d,law_981fc20cd225,38,,,,effective,某财险公司机动车综合商业保险示范条款,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_766dcb49ef3f,law_7f4d2476c7a8,10,,,,effective,著作权法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_c058e82f80d3,law_7f4d2476c7a8,48,,,,effective,著作权法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_f4685b02dfdc,law_7f4d2476c7a8,49,,,,effective,著作权法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_4049759b7b5b,law_f81ddb772595,7,,,,effective,最高人民法院、最高人民检察院关于办理利用信息网络实施诽谤等刑事案件适用法律若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_a090a26ed272,law_916530c63e7a,225,,4,,effective,刑法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_d44bf5690a7c,law_916530c63e7a,225,,,,effective,刑法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_55380d047e0d,law_5db6ae5d55af,70,,,,effective,最高人民法院关于适用《中华人民共和国民法典》婚姻家庭编的解释（一）,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_5b9982237ca0,law_bc903ed447bd,1042,,,,effective,民法典,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_8ceea492ca26,law_27fb4e799b2f,28,,,,effective,最高人民法院关于人民法院办理执行异议和复议案件若干问题的规定,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_3457bc75ae8e,law_916530c63e7a,287,,,,effective,刑法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_9c327d9c8524,law_4bd7e2822e67,11,,7,,effective,最高人民法院、最高人民检察院关于办理非法利用信息网络、帮助信息网络犯罪活动等刑事案件适用法律若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_363592b430b9,law_58666e602734,8,,,,effective,最高人民法院、最高人民检察院、公安部关于办理电信网络诈骗等刑事案件适用法律若干问题的意见（二）,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
