case_id,provision_id,citation_position,citation_purpose
ccase_58c50b304c33,provision_4e179c40c7cc,judgment_reason,适用依据
ccase_58c50b304c33,provision_08ae9f13aa98,judgment_reason,适用依据
ccase_58c50b304c33,provision_69004c67eae9,judgment_reason,说理依据
ccase_58c50b304c33,provision_ff5e655f8458,judgment_reason,适用依据
ccase_58c50b304c33,provision_679eb8dbc7f5,judgment_reason,说理依据
ccase_58c50b304c33,provision_8f7caaf4bb08,judgment_reason,适用依据
ccase_58c50b304c33,provision_c081432709e6,judgment_reason,说理依据
ccase_58c50b304c33,provision_8800e842a08f,judgment_reason,说理依据
ccase_58c50b304c33,provision_ab5cea8e94a8,judgment_reason,说理依据
ccase_58c50b304c33,provision_10844bed6d6c,judgment_reason,说理依据
ccase_58c50b304c33,provision_6d705651c57e,judgment_reason,反驳依据
ccase_58c50b304c33,provision_25788c012284,judgment_reason,说理依据
ccase_58c50b304c33,provision_f9a39443c771,judgment_reason,说理依据
ccase_58c50b304c33,provision_f22a85d9eb34,judgment_reason,适用依据
ccase_58c50b304c33,provision_361f56231579,judgment_reason,说理依据
ccase_58c50b304c33,provision_f305d652caf4,judgment_reason,说理依据
ccase_58c50b304c33,provision_8a33e5b557cc,judgment_essence,适用依据
ccase_58c50b304c33,provision_6fb8ed72eeca,judgment_reason,适用依据
ccase_58c50b304c33,provision_835c030c9f51,judgment_reason,适用依据
ccase_58c50b304c33,provision_ad5d8f7ffe6d,judgment_reason,适用依据
ccase_58c50b304c33,provision_9e1fa9430317,judgment_reason,适用依据
ccase_58c50b304c33,provision_e41e5827e7b2,judgment_reason,说理依据
ccase_58c50b304c33,provision_32959ec46f1b,judgment_reason,说理依据
ccase_58c50b304c33,provision_49b4a9c0d3de,judgment_reason,说理依据
ccase_58c50b304c33,provision_ea6895e48153,judgment_reason,反驳依据
ccase_58c50b304c33,provision_c584891e74ad,judgment_reason,说理依据
ccase_58c50b304c33,provision_39227e4f6f5d,judgment_reason,说理依据
ccase_58c50b304c33,provision_296bf74e748a,judgment_reason,说理依据
ccase_58c50b304c33,provision_19f1762038f8,judgment_reason,适用依据
ccase_58c50b304c33,provision_d502e0645e22,judgment_reason,说理依据
ccase_58c50b304c33,provision_f1cb486c1659,judgment_reason,说理依据
ccase_58c50b304c33,provision_74fe326488d4,basic_facts,反驳依据
ccase_58c50b304c33,provision_9ee7f61bad3d,judgment_reason,说理依据
ccase_58c50b304c33,provision_26a0a25d2533,judgment_reason,说理依据
ccase_58c50b304c33,provision_336e1002b3f5,judgment_reason,适用依据
ccase_58c50b304c33,provision_b4b8ee3a090a,judgment_reason,适用依据
ccase_58c50b304c33,provision_1e00c48025dd,judgment_reason,说理依据
ccase_58c50b304c33,provision_81698f01fe92,judgment_reason,适用依据
ccase_58c50b304c33,provision_74644015418d,judgment_reason,适用依据
ccase_58c50b304c33,provision_9062665d5f16,judgment_reason,适用依据
ccase_58c50b304c33,provision_bae99868bc93,judgment_reason,适用依据
ccase_58c50b304c33,provision_a50b121b5bfe,judgment_reason,适用依据
ccase_58c50b304c33,provision_8da676b06f22,judgment_reason,适用依据
ccase_58c50b304c33,provision_7137b6a4fea3,judgment_reason,说理依据
ccase_58c50b304c33,provision_ed9870492a21,judgment_reason,说理依据
ccase_58c50b304c33,provision_f5b5a425b131,judgment_reason,说理依据
ccase_58c50b304c33,provision_61bf5efb82d1,judgment_reason,说理依据
ccase_58c50b304c33,provision_70cd7e807790,judgment_reason,适用依据
ccase_58c50b304c33,provision_ef75b313926d,judgment_reason,说理依据
ccase_58c50b304c33,provision_06dd428cfe0d,judgment_reason,说理依据
ccase_58c50b304c33,provision_72ecfa9041db,judgment_reason,适用依据
ccase_58c50b304c33,provision_e5287ba8a73f,judgment_reason,适用依据
ccase_58c50b304c33,provision_e825a5829d2e,judgment_reason,适用依据
ccase_58c50b304c33,provision_e642179649fe,judgment_reason,说理依据
ccase_58c50b304c33,provision_4bdc6611c16d,judgment_reason,说理依据
ccase_58c50b304c33,provision_766dcb49ef3f,judgment_reason,说理依据
ccase_58c50b304c33,provision_c058e82f80d3,judgment_reason,适用依据
ccase_58c50b304c33,provision_f4685b02dfdc,judgment_reason,适用依据
ccase_58c50b304c33,provision_4049759b7b5b,judgment_reason,适用依据
ccase_58c50b304c33,provision_a090a26ed272,judgment_reason,适用依据
ccase_58c50b304c33,provision_d44bf5690a7c,judgment_essence,说理依据
ccase_58c50b304c33,provision_55380d047e0d,judgment_reason,适用依据
ccase_58c50b304c33,provision_5b9982237ca0,judgment_essence,适用依据
ccase_58c50b304c33,provision_8ceea492ca26,judgment_reason,说理依据
ccase_58c50b304c33,provision_3457bc75ae8e,judgment_reason,适用依据
ccase_58c50b304c33,provision_9c327d9c8524,judgment_reason,说理依据
ccase_58c50b304c33,provision_363592b430b9,judgment_reason,说理依据
